id_dedl,original,upper,missions,unsep,rmstr,split
,RESCALE_ADO_NDVI_MODIS_231m_3035,RESCALE_ADO_NDVI_MODIS_231M_3035,RESCALE_ADO_NDVI_MODIS_231M_3035,RESCALE ADO NDVI MODIS 231M 3035,RESCALE ADO NDVI MODIS 231M 3035,"['RESCALE', 'ADO', 'NDVI', 'MODIS', '231M', '3035']"
,S2_Cloudless_32631_10m_L1C,S2_CLOUDLESS_32631_10M_L1C,SENTINEL2_CLOUDLESS_32631_10M_L1C,SENTINEL2 CLOUDLESS 32631 10M L1C,SENTINEL2 CLOUDLESS 32631 10M L1C,"['SENTINEL2', 'CLOUDLESS', '32631', '10M', 'L1C']"
,S2_Cloudless_32632_10m_L1C,S2_CLOUDLESS_32632_10M_L1C,SENTINEL2_CLOUDLESS_32632_10M_L1C,SENTINEL2 CLOUDLESS 32632 10M L1C,SENTINEL2 CLOUDLESS 32632 10M L1C,"['SENTINEL2', 'CLOUDLESS', '32632', '10M', 'L1C']"
,S2_Cloudless_32633_10m_L1C,S2_CLOUDLESS_32633_10M_L1C,SENTINEL2_CLOUDLESS_32633_10M_L1C,SENTINEL2 CLOUDLESS 32633 10M L1C,SENTINEL2 CLOUDLESS 32633 10M L1C,"['SENTINEL2', 'CLOUDLESS', '32633', '10M', 'L1C']"
,S2_L1C_T32TPS,S2_L1C_T32TPS,SENTINEL2_L1C_T32TPS,SENTINEL2 L1C T32TPS,SENTINEL2 L1C T32TPS,"['SENTINEL2', 'L1C', 'T32TPS']"
,S2_L1C_T32TQS,S2_L1C_T32TQS,SENTINEL2_L1C_T32TQS,SENTINEL2 L1C T32TQS,SENTINEL2 L1C T32TQS,"['SENTINEL2', 'L1C', 'T32TQS']"
,S2_L2A_ALPS,S2_L2A_ALPS,SENTINEL2_L2A_ALPS,SENTINEL2 L2A ALPS,SENTINEL2 L2A ALPS,"['SENTINEL2', 'L2A', 'ALPS']"
,S2_L2A_BURUNDI,S2_L2A_BURUNDI,SENTINEL2_L2A_BURUNDI,SENTINEL2 L2A BURUNDI,SENTINEL2 L2A BURUNDI,"['SENTINEL2', 'L2A', 'BURUNDI']"
,S2_L2A_T32TPS,S2_L2A_T32TPS,SENTINEL2_L2A_T32TPS,SENTINEL2 L2A T32TPS,SENTINEL2 L2A T32TPS,"['SENTINEL2', 'L2A', 'T32TPS']"
,SAO_S2_ST_BRDF_10m_L2A,SAO_S2_ST_BRDF_10M_L2A,SAO_SENTINEL2_ST_BRDF_10M_L2A,SAO SENTINEL2 ST BRDF 10M L2A,SAO SENTINEL2 ST BRDF 10M L2A,"['SAO', 'SENTINEL2', 'ST', 'BRDF', '10M', 'L2A']"
