id_dedl,original,upper,missions,unsep,rmstr,split
,b77b7ce3-04f8-44ae-aaae-b5e5af0f9682,B77B7CE3-04F8-44AE-AAAE-B5E5AF0F9682,B77B7CE3-04F8-44AE-AAAE-B5E5AF0F9682,B77B7CE3 04F8 44AE AAAE B5E5AF0F9682,B77B7CE3 04F8 44AE AAAE B5E5AF0F9682,"['B77B7CE3', '04F8', '44AE', 'AAAE', 'B5E5AF0F9682']"
,b7b1fa67-6591-48cf-b88b-a8357fe0383a,B7B1FA67-6591-48CF-B88B-A8357FE0383A,B7B1FA67-6591-48CF-B88B-A8357FE0383A,B7B1FA67 6591 48CF B88B A8357FE0383A,B7B1FA67 6591 48CF B88B A8357FE0383A,"['B7B1FA67', '6591', '48CF', 'B88B', 'A8357FE0383A']"
,b85129e3-d53e-4d06-943d-c9fa3bf5391f,B85129E3-D53E-4D06-943D-C9FA3BF5391F,B85129E3-D53E-4D06-943D-C9FA3BF5391F,B85129E3 D53E 4D06 943D C9FA3BF5391F,B85129E3 D53E 4D06 943D C9FA3BF5391F,"['B85129E3', 'D53E', '4D06', '943D', 'C9FA3BF5391F']"
,b8a5a51f-0c8e-44bc-bac2-2afa6b9444da,B8A5A51F-0C8E-44BC-BAC2-2AFA6B9444DA,B8A5A51F-0C8E-44BC-BAC2-2AFA6B9444DA,B8A5A51F 0C8E 44BC BAC2 2AFA6B9444DA,B8A5A51F 0C8E 44BC BAC2 2AFA6B9444DA,"['B8A5A51F', '0C8E', '44BC', 'BAC2', '2AFA6B9444DA']"
,b9399908-557a-47a8-954a-958dabeaf1b6,B9399908-557A-47A8-954A-958DABEAF1B6,B9399908-557A-47A8-954A-958DABEAF1B6,B9399908 557A 47A8 954A 958DABEAF1B6,B9399908 557A 47A8 954A 958DABEAF1B6,"['B9399908', '557A', '47A8', '954A', '958DABEAF1B6']"
,b98e32ad-f316-4a80-a176-30cba8bab017,B98E32AD-F316-4A80-A176-30CBA8BAB017,B98E32AD-F316-4A80-A176-30CBA8BAB017,B98E32AD F316 4A80 A176 30CBA8BAB017,B98E32AD F316 4A80 A176 30CBA8BAB017,"['B98E32AD', 'F316', '4A80', 'A176', '30CBA8BAB017']"
,bb32d49d-71ce-4a89-884a-e7e6fb118333,BB32D49D-71CE-4A89-884A-E7E6FB118333,BB32D49D-71CE-4A89-884A-E7E6FB118333,BB32D49D 71CE 4A89 884A E7E6FB118333,BB32D49D 71CE 4A89 884A E7E6FB118333,"['BB32D49D', '71CE', '4A89', '884A', 'E7E6FB118333']"
,bb4a1a65-fba0-4b54-bb6e-848c69728332,BB4A1A65-FBA0-4B54-BB6E-848C69728332,BB4A1A65-FBA0-4B54-BB6E-848C69728332,BB4A1A65 FBA0 4B54 BB6E 848C69728332,BB4A1A65 FBA0 4B54 BB6E 848C69728332,"['BB4A1A65', 'FBA0', '4B54', 'BB6E', '848C69728332']"
,bbd22b73-946e-45fc-b88c-981bf739fcff,BBD22B73-946E-45FC-B88C-981BF739FCFF,BBD22B73-946E-45FC-B88C-981BF739FCFF,BBD22B73 946E 45FC B88C 981BF739FCFF,BBD22B73 946E 45FC B88C 981BF739FCFF,"['BBD22B73', '946E', '45FC', 'B88C', '981BF739FCFF']"
,bbf623f8-fc12-4aa6-9cb9-20823ffd6178,BBF623F8-FC12-4AA6-9CB9-20823FFD6178,BBF623F8-FC12-4AA6-9CB9-20823FFD6178,BBF623F8 FC12 4AA6 9CB9 20823FFD6178,BBF623F8 FC12 4AA6 9CB9 20823FFD6178,"['BBF623F8', 'FC12', '4AA6', '9CB9', '20823FFD6178']"
