id_dedl,original,upper,missions,unsep,rmstr,split
,992ba11d-e4dc-457e-a3fd-08b12f2210a2,992BA11D-E4DC-457E-A3FD-08B12F2210A2,992BA11D-E4DC-457E-A3FD-08B12F2210A2,992BA11D E4DC 457E A3FD 08B12F2210A2,992BA11D E4DC 457E A3FD 08B12F2210A2,"['992BA11D', 'E4DC', '457E', 'A3FD', '08B12F2210A2']"
,9a5a0566-48d1-4d9b-9261-7d972bbc5839,9A5A0566-48D1-4D9B-9261-7D972BBC5839,9A5A0566-48D1-4D9B-9261-7D972BBC5839,9A5A0566 48D1 4D9B 9261 7D972BBC5839,9A5A0566 48D1 4D9B 9261 7D972BBC5839,"['9A5A0566', '48D1', '4D9B', '9261', '7D972BBC5839']"
,9bee0cb0-343d-421a-9a19-150dd07fb0e5,9BEE0CB0-343D-421A-9A19-150DD07FB0E5,9BEE0CB0-343D-421A-9A19-150DD07FB0E5,9BEE0CB0 343D 421A 9A19 150DD07FB0E5,9BEE0CB0 343D 421A 9A19 150DD07FB0E5,"['9BEE0CB0', '343D', '421A', '9A19', '150DD07FB0E5']"
,9c0eb043-33ee-4543-9c5c-4310fe791173,9C0EB043-33EE-4543-9C5C-4310FE791173,9C0EB043-33EE-4543-9C5C-4310FE791173,9C0EB043 33EE 4543 9C5C 4310FE791173,9C0EB043 33EE 4543 9C5C 4310FE791173,"['9C0EB043', '33EE', '4543', '9C5C', '4310FE791173']"
,9e207c9f-8ddd-4b2c-ada7-ca953c52503b,9E207C9F-8DDD-4B2C-ADA7-CA953C52503B,9E207C9F-8DDD-4B2C-ADA7-CA953C52503B,9E207C9F 8DDD 4B2C ADA7 CA953C52503B,9E207C9F 8DDD 4B2C ADA7 CA953C52503B,"['9E207C9F', '8DDD', '4B2C', 'ADA7', 'CA953C52503B']"
,9f2b5a7b-7617-4b1f-a654-cb980b643fce,9F2B5A7B-7617-4B1F-A654-CB980B643FCE,9F2B5A7B-7617-4B1F-A654-CB980B643FCE,9F2B5A7B 7617 4B1F A654 CB980B643FCE,9F2B5A7B 7617 4B1F A654 CB980B643FCE,"['9F2B5A7B', '7617', '4B1F', 'A654', 'CB980B643FCE']"
,9fe675d9-794a-46a1-abcb-471fa4279d2b,9FE675D9-794A-46A1-ABCB-471FA4279D2B,9FE675D9-794A-46A1-ABCB-471FA4279D2B,9FE675D9 794A 46A1 ABCB 471FA4279D2B,9FE675D9 794A 46A1 ABCB 471FA4279D2B,"['9FE675D9', '794A', '46A1', 'ABCB', '471FA4279D2B']"
,a0b71e7b-4a71-43a6-a5c1-8b5bb52ae7fe,A0B71E7B-4A71-43A6-A5C1-8B5BB52AE7FE,A0B71E7B-4A71-43A6-A5C1-8B5BB52AE7FE,A0B71E7B 4A71 43A6 A5C1 8B5BB52AE7FE,A0B71E7B 4A71 43A6 A5C1 8B5BB52AE7FE,"['A0B71E7B', '4A71', '43A6', 'A5C1', '8B5BB52AE7FE']"
,a0cef231-2f56-40f6-a039-d27dec2216e6,A0CEF231-2F56-40F6-A039-D27DEC2216E6,A0CEF231-2F56-40F6-A039-D27DEC2216E6,A0CEF231 2F56 40F6 A039 D27DEC2216E6,A0CEF231 2F56 40F6 A039 D27DEC2216E6,"['A0CEF231', '2F56', '40F6', 'A039', 'D27DEC2216E6']"
,a0df130c-2231-4447-9382-cf795d9a9869,A0DF130C-2231-4447-9382-CF795D9A9869,A0DF130C-2231-4447-9382-CF795D9A9869,A0DF130C 2231 4447 9382 CF795D9A9869,A0DF130C 2231 4447 9382 CF795D9A9869,"['A0DF130C', '2231', '4447', '9382', 'CF795D9A9869']"
,a131a1fc-7bce-4639-a04b-f9a2559ba2ce,A131A1FC-7BCE-4639-A04B-F9A2559BA2CE,A131A1FC-7BCE-4639-A04B-F9A2559BA2CE,A131A1FC 7BCE 4639 A04B F9A2559BA2CE,A131A1FC 7BCE 4639 A04B F9A2559BA2CE,"['A131A1FC', '7BCE', '4639', 'A04B', 'F9A2559BA2CE']"
,a53e681e-418b-4a4c-a52a-24df1271882c,A53E681E-418B-4A4C-A52A-24DF1271882C,A53E681E-418B-4A4C-A52A-24DF1271882C,A53E681E 418B 4A4C A52A 24DF1271882C,A53E681E 418B 4A4C A52A 24DF1271882C,"['A53E681E', '418B', '4A4C', 'A52A', '24DF1271882C']"
,a54ac0ea-b4f9-48cb-ae55-f84c78848a28,A54AC0EA-B4F9-48CB-AE55-F84C78848A28,A54AC0EA-B4F9-48CB-AE55-F84C78848A28,A54AC0EA B4F9 48CB AE55 F84C78848A28,A54AC0EA B4F9 48CB AE55 F84C78848A28,"['A54AC0EA', 'B4F9', '48CB', 'AE55', 'F84C78848A28']"
,a5e7980d-e685-4c74-a8c2-b820537aeaf7,A5E7980D-E685-4C74-A8C2-B820537AEAF7,A5E7980D-E685-4C74-A8C2-B820537AEAF7,A5E7980D E685 4C74 A8C2 B820537AEAF7,A5E7980D E685 4C74 A8C2 B820537AEAF7,"['A5E7980D', 'E685', '4C74', 'A8C2', 'B820537AEAF7']"
,a6fd748a-422e-4200-8abf-5d7d0fe64d88,A6FD748A-422E-4200-8ABF-5D7D0FE64D88,A6FD748A-422E-4200-8ABF-5D7D0FE64D88,A6FD748A 422E 4200 8ABF 5D7D0FE64D88,A6FD748A 422E 4200 8ABF 5D7D0FE64D88,"['A6FD748A', '422E', '4200', '8ABF', '5D7D0FE64D88']"
,a766e7f1-b5ba-47f6-a4eb-e8c9bdb0f248,A766E7F1-B5BA-47F6-A4EB-E8C9BDB0F248,A766E7F1-B5BA-47F6-A4EB-E8C9BDB0F248,A766E7F1 B5BA 47F6 A4EB E8C9BDB0F248,A766E7F1 B5BA 47F6 A4EB E8C9BDB0F248,"['A766E7F1', 'B5BA', '47F6', 'A4EB', 'E8C9BDB0F248']"
,a78600a4-a280-47b5-8ddd-0dc8b5e9c9d9,A78600A4-A280-47B5-8DDD-0DC8B5E9C9D9,A78600A4-A280-47B5-8DDD-0DC8B5E9C9D9,A78600A4 A280 47B5 8DDD 0DC8B5E9C9D9,A78600A4 A280 47B5 8DDD 0DC8B5E9C9D9,"['A78600A4', 'A280', '47B5', '8DDD', '0DC8B5E9C9D9']"
,ab5b366c-f7f5-48cf-b94d-0d3748a2cbc3,AB5B366C-F7F5-48CF-B94D-0D3748A2CBC3,AB5B366C-F7F5-48CF-B94D-0D3748A2CBC3,AB5B366C F7F5 48CF B94D 0D3748A2CBC3,AB5B366C F7F5 48CF B94D 0D3748A2CBC3,"['AB5B366C', 'F7F5', '48CF', 'B94D', '0D3748A2CBC3']"
,ab6cae84-4cda-42d0-b021-20fde9ed08f9,AB6CAE84-4CDA-42D0-B021-20FDE9ED08F9,AB6CAE84-4CDA-42D0-B021-20FDE9ED08F9,AB6CAE84 4CDA 42D0 B021 20FDE9ED08F9,AB6CAE84 4CDA 42D0 B021 20FDE9ED08F9,"['AB6CAE84', '4CDA', '42D0', 'B021', '20FDE9ED08F9']"
,ac3321fa-94c9-41d4-b95e-5df619fcc584,AC3321FA-94C9-41D4-B95E-5DF619FCC584,AC3321FA-94C9-41D4-B95E-5DF619FCC584,AC3321FA 94C9 41D4 B95E 5DF619FCC584,AC3321FA 94C9 41D4 B95E 5DF619FCC584,"['AC3321FA', '94C9', '41D4', 'B95E', '5DF619FCC584']"
,ac5e6323-76fb-4b8d-9e65-9bf4bd4bd5b4,AC5E6323-76FB-4B8D-9E65-9BF4BD4BD5B4,AC5E6323-76FB-4B8D-9E65-9BF4BD4BD5B4,AC5E6323 76FB 4B8D 9E65 9BF4BD4BD5B4,AC5E6323 76FB 4B8D 9E65 9BF4BD4BD5B4,"['AC5E6323', '76FB', '4B8D', '9E65', '9BF4BD4BD5B4']"
,ac5fc6fd-f6ba-4cc6-bb32-662b7f80c354,AC5FC6FD-F6BA-4CC6-BB32-662B7F80C354,AC5FC6FD-F6BA-4CC6-BB32-662B7F80C354,AC5FC6FD F6BA 4CC6 BB32 662B7F80C354,AC5FC6FD F6BA 4CC6 BB32 662B7F80C354,"['AC5FC6FD', 'F6BA', '4CC6', 'BB32', '662B7F80C354']"
,aca35159-2223-444f-b7e9-a8052687ee1f,ACA35159-2223-444F-B7E9-A8052687EE1F,ACA35159-2223-444F-B7E9-A8052687EE1F,ACA35159 2223 444F B7E9 A8052687EE1F,ACA35159 2223 444F B7E9 A8052687EE1F,"['ACA35159', '2223', '444F', 'B7E9', 'A8052687EE1F']"
,add4481a-330a-4a44-b321-dbf58d6dc5b2,ADD4481A-330A-4A44-B321-DBF58D6DC5B2,ADD4481A-330A-4A44-B321-DBF58D6DC5B2,ADD4481A 330A 4A44 B321 DBF58D6DC5B2,ADD4481A 330A 4A44 B321 DBF58D6DC5B2,"['ADD4481A', '330A', '4A44', 'B321', 'DBF58D6DC5B2']"
,adfa8c0c-0e37-4f62-bd27-b8df477c55fa,ADFA8C0C-0E37-4F62-BD27-B8DF477C55FA,ADFA8C0C-0E37-4F62-BD27-B8DF477C55FA,ADFA8C0C 0E37 4F62 BD27 B8DF477C55FA,ADFA8C0C 0E37 4F62 BD27 B8DF477C55FA,"['ADFA8C0C', '0E37', '4F62', 'BD27', 'B8DF477C55FA']"
,af2e7fe7-6ea5-4c0f-bd00-a427895a15f8,AF2E7FE7-6EA5-4C0F-BD00-A427895A15F8,AF2E7FE7-6EA5-4C0F-BD00-A427895A15F8,AF2E7FE7 6EA5 4C0F BD00 A427895A15F8,AF2E7FE7 6EA5 4C0F BD00 A427895A15F8,"['AF2E7FE7', '6EA5', '4C0F', 'BD00', 'A427895A15F8']"
